
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Chile*                                         1,131.1       2,338.4            28       1,224.2       2,510.2            27
China                                         39,067.6      84,855.6             1      40,708.8      88,323.9             1
Christmas Island                                   0.1           0.1           214           0.1           0.1           214
Cocos (Keeling) Islands                            0.1           0.2           209           0.1           0.2           209
Colombia*                                      1,222.4       2,729.4            25       1,271.5       2,836.3            25
Comoros                                            0.1           1.4           172           0.1           1.4           172
Congo (Brazzaville)                               66.3          73.7            91          68.8          76.4            91
Congo (Kinshasa)                                  12.0          21.4           116          12.1          21.6           117
Cook Islands                                       (-)           0.1           217           (-)           0.1           217
Costa Rica**                                     394.1         727.8            49         414.8         770.6            49
Cote d'Ivoire                                    152.4         315.3            65         155.9         324.1            65
Croatia                                           37.6          65.6            92          38.7          67.9            93
Cuba                                               (-)           (-)           (X)           (-)           (-)           (X)
Curacao                                           41.9          46.4           107          42.9          47.3           107
Cyprus                                             5.2          11.3           133           5.4          11.6           133
Czech Republic                                   374.9         768.5            48         387.9         794.6            47

Denmark                                          700.9       1,383.1            37         714.0       1,407.5            37
Djibouti                                           1.2           3.2           158           1.2           3.3           158
Dominica                                           (-)           0.4           198           (-)           0.4           201
Dominican Republic**                             401.7         715.9            51         412.6         736.0            51

Ecuador                                          432.6         958.0            42         462.6       1,018.9            42
Egypt                                            129.7         260.6            70         134.9         271.3            70
El Salvador**                                    191.3         370.9            63         196.6         381.9            63
Equatorial Guinea                                 12.8          26.7           113          14.1          29.4           113
Eritrea                                            (-)           (-)           228           (-)           (-)           228
Estonia                                           36.8          84.0            89          37.9          86.6            89
Ethiopia                                          24.8          42.7           108          25.7          44.4           108

Falkland Islands (Islas Malvinas)                  (-)           0.6           189           (-)           0.6           191
Faroe Islands                                      9.3          16.6           123          11.8          21.3           118
Fiji                                              12.0          28.6           112          15.7          37.4           110
Finland                                          584.5       1,141.1            40         599.1       1,170.4            40
France                                         3,844.9       7,443.5            12       3,919.3       7,603.0            12
French Guiana                                      0.2           0.2           205           0.2           0.3           205
French Polynesia                                   7.6          10.5           134           7.8          11.0           134
French Southern and Antarctic Lands                (-)           (-)           226           (-)           (-)           226

Gabon                                             43.1          53.9           101          45.3          56.6           101
Gambia                                             (-)           0.1           213           (-)           0.1           213
Gaza Strip Administered by Israel                  (-)           0.1           218           (-)           0.1           218
Georgia                                            5.7          30.8           111           5.9          32.1           112
Germany                                        9,995.0      19,783.7             5      10,186.3      20,159.8             5
Ghana                                             19.6          51.4           103          20.8          54.4           102
Gibraltar                                          0.1           0.1           212           0.1           0.1           215
Greece                                            93.3         214.3            72         100.1         228.8            72
Greenland                                          2.4           3.4           155           2.5           3.4           156
Grenada                                            0.9           1.9           165           1.0           2.1           164
Guadeloupe                                         0.1           0.7           186           0.1           0.7           187
Guatemala*                                       326.4         667.9            53         359.3         729.9            52
Guinea                                             0.3           0.8           181           0.4           1.0           181
Guinea-Bissau                                      (-)           (-)           229           (-)           (-)           229
Guyana                                            20.7          36.1           110          21.3          37.3           111

Haiti                                             73.9         129.9            81          75.3         132.3            82
Heard and McDonald Islands                         (-)           (-)           231           (-)           (-)           231
Honduras**                                       400.0         726.2            50         423.4         769.2            50
Hong Kong                                        431.2         955.4            43         443.5         982.4            43
Hungary                                          384.0         772.4            47         392.0         787.7            48

Iceland                                           36.3          78.7            90          39.2          84.3            90
India                                          3,956.6       8,383.6             9       4,110.4       8,707.6             9
Indonesia                                      1,701.9       3,511.1            18       1,774.2       3,662.5            18
Iran                                               2.4           7.1           143           2.5           7.4           143
Iraq                                           1,180.7       2,427.3            27       1,202.7       2,480.5            28
Ireland                                        4,481.6       9,037.3             8       4,498.9       9,074.1             8
Israel*                                        1,504.4       3,292.8            20       1,539.5       3,362.3            20
Italy                                          3,976.9       8,292.5            10       4,086.9       8,509.3            10

Jamaica                                           28.6          57.6            99          30.0          59.9            98
Japan                                         10,816.4      22,118.5             4      11,061.5      22,624.2             4
Jordan*                                          131.0         286.7            66         133.9         292.8            66

Kazakhstan                                        45.5         136.9            78          47.3         142.2            78
Kenya                                             52.2          98.8            86          53.3         101.5            86
Kiribati                                           0.1           0.3           202           0.2           0.4           199
Korea, North                                       (-)           (-)           (X)           (-)           (-)           (X)
Korea, South*                                  4,974.7      10,630.8             6       5,109.0      10,916.9             6
Kosovo                                             0.2           0.4           197           0.2           0.4           196
Kuwait                                           245.7         499.8            60         249.4         511.3            60
